Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences (#),1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Transformations (#),1063,275,2182,552,68,42,2012,954.8,437.4,130.6,259.4,168.2,522.4,356,94.2,29.4,130,113.4,42.6,6.4,0.4
Total Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,474.8,229.6,55.8,142.8,76.6,259.4,173,49.6,12.4,66.6,55.8,19.8,1.6,0
Total Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,207.8,74.8,116.6,91.6,263,183,44.6,17,63.4,57.6,22.8,4.8,0.4
Correct Pos->Pos Transformations (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99958,0.99828,0.9789599999999999,0.952,0.9457,0.93646,0.92512,0.7873,0.45926,0.49332000000000004,0.45738,0.29552,0.11427999999999999,0.0
Correct Pos->Neg Transformations (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99904,0.99734,0.95572,0.9642000000000001,0.94944,0.9337,0.73114,0.50002,0.45286,0.47212,0.30002,0.19998,0.05
Total Correct Transformations (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.99862,0.98938,0.9537,0.9557,0.94296,0.9295,0.7597,0.4819399999999999,0.47272000000000003,0.46476,0.2979,0.16840000000000002,0.036359999999999996
Total source tokens,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
Total Prediction Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,974.8,1708.8,1425.4,4431.6,3331.8,1099.2,646,2800.4,2561.2,1674,550.6,192
Total Target Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->Pos Token Precision (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996,0.99976,0.99676,0.99116,0.99118,0.99048,0.9879,0.9647199999999999,0.85002,0.91162,0.87444,0.8269,0.72856,0.6901
