Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences (#),1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Transformations (#),1063,275,2182,552,68,42,2012,955,437,130,250,167,520,345,88,25,125,111,36,7,0
Total Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,475,229,55,138,76,257,172,45,9,60,57,16,1,0
Total Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,208,75,112,91,263,173,43,16,65,54,20,6,0
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.57%,96.49%,92.0%,93.83%,92.78%,91.98%,71.43%,33.33%,44.44%,46.72%,23.88%,7.14%,0.0%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,91.8%,95.79%,94.95%,88.27%,70.49%,47.06%,46.43%,44.26%,26.32%,25.0%,0.0%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.77%,98.48%,91.91%,94.89%,93.86%,90.08%,70.97%,40.98%,45.45%,45.49%,25.17%,18.42%,0.0%
Total source tokens,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
Total Prediction Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1102,648,2808,2571,1684,549,196
Total Target Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.96%,99.41%,98.77%,99.03%,98.92%,98.66%,94.97%,82.57%,89.14%,87.07%,78.64%,71.84%,73.53%
