Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences (#),1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Transformations (#),1063,275,2182,552,68,42,2012,955,438,132,272,175.8,554,383,123.8,59.4,273.2,196.6,12.8,0.4,0
Total Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,475,230,57,150,80.8,277,187,63,27,134.8,98.6,7.2,0.4,0
Total Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,60.8,32.4,138.4,98,5.6,0,0
Correct Pos->Pos Transformations (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99754,1.0,1.0,1.0,1.0,0.99852,0.8082,0.10747999999999999,0.02858,0.0
Correct Pos->Neg Transformations (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99672,0.95296,0.98858,0.80328,0.07368,0.0,0.0
Total Correct Transformations (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99886,1.0,1.0,0.99838,0.97376,0.99346,0.80574,0.08952,0.01052,0.0
Total source tokens,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
Total Prediction Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1097.2,645.8,2797.6,2559.2,1673.2,539,178.8
Total Target Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->Pos Token Precision (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99982,1.0,1.0,1.0,1.0,1.0,0.98904,0.95196,0.94014,0.92252
Pos->Neg Token Precision (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99006,0.999,0.98948,0.9507599999999999,0.93392,0.93338
