Dictionary Name,Total Sentences per Length,Total Correct Sentences per Length,Total pos->pos sents per len,Correct pos->pos sents per len,Total pos->neg sents per len,Correct pos->neg sents per len,Correct Pos->Pos Transformations,correct Pos->Neg Transformations,Total correct per len,Total parseable sentences (pos->pos),Parseable sentences (pos->pos),Preserve tree structures (pos->pos),Preserve significant clauses (pos->pos),Total parseable sentences pos->neg,Parseable Sentences (pos->neg),Preserve tree structures (pos->neg),Preserve significant clauses (pos->neg),Negates main clause (pos->neg),Negates target (pos->neg),Negates target in the main clause (pos->neg),Negates outside of the main clause (pos->neg),Total source tokens,total prediction tokens per source,total target tokens per source,Pos->pos token precision,Pos->neg token precision,Pos->pos token recall,Pos->neg token recall,Pos->Pos category precision,Pos->neg category precision,Pos->pos category recall,Pos->Neg category recall
3.00,"1,063.00","1,063.00",547.00,547.00,516.00,516.00,1.00,1.00,1.00,547.00,1.00,1.00,1.00,516.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"1,548.00","2,064.00","2,064.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4.00,275.00,275.00,146.00,146.00,129.00,129.00,1.00,1.00,1.00,146.00,1.00,1.00,1.00,129.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,516.00,645.00,645.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5.00,"2,182.00","2,182.00","1,122.00","1,122.00","1,060.00","1,060.00",1.00,1.00,1.00,"1,122.00",1.00,1.00,1.00,"1,060.00",1.00,1.00,1.00,1.00,1.00,1.00,0.00,"5,300.00","6,360.00","6,360.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
6.00,552.00,552.00,283.00,283.00,269.00,269.00,1.00,1.00,1.00,283.00,1.00,1.00,1.00,269.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"1,614.00","1,883.00","1,883.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
7.00,68.00,68.00,38.00,38.00,30.00,30.00,1.00,1.00,1.00,38.00,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,210.00,240.00,240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8.00,42.00,42.00,22.00,22.00,20.00,20.00,1.00,1.00,1.00,22.00,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,160.00,180.00,180.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9.00,"2,012.00","2,012.00","1,050.00","1,050.00",962.00,962.00,1.00,1.00,1.00,"1,050.00",1.00,1.00,1.00,962.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"8,658.00","9,620.00","9,620.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10.00,955.00,955.00,475.00,475.00,480.00,480.00,1.00,1.00,1.00,475.00,1.00,1.00,1.00,480.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"4,800.00","5,280.00","5,280.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.00,438.00,438.00,230.00,230.00,208.00,208.00,1.00,1.00,1.00,230.00,1.00,1.00,1.00,208.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"2,288.00","2,496.00","2,496.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.00,132.00,132.00,57.00,57.00,75.00,75.00,1.00,1.00,1.00,57.00,1.00,1.00,1.00,75.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,900.00,975.00,975.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.00,272.00,272.00,150.00,150.00,122.00,122.00,1.00,1.00,1.00,150.00,1.00,1.00,1.00,122.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"1,586.00","1,708.00","1,708.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.00,176.00,175.00,81.00,80.00,95.00,95.00,0.99,1.00,0.99,80.00,0.99,0.99,0.99,95.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"1,330.00","1,425.00","1,425.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.00,554.00,554.00,277.00,277.00,277.00,277.00,1.00,1.00,1.00,277.00,1.00,1.00,1.00,277.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"4,155.00","4,432.00","4,432.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16.00,383.00,383.00,187.00,187.00,196.00,196.00,1.00,1.00,1.00,187.00,1.00,1.00,1.00,196.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"3,136.00","3,332.00","3,332.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
17.00,124.00,124.00,63.00,63.00,61.00,61.00,1.00,1.00,1.00,63.00,1.00,1.00,1.00,61.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,"1,037.00","1,098.00","1,098.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
18.00,61.00,59.00,27.00,27.00,34.00,32.00,1.00,0.94,0.97,27.00,1.00,1.00,1.00,32.00,0.94,0.94,0.94,0.94,1.00,0.94,0.00,612.00,650.00,646.00,1.00,0.99,1.00,1.00,1.00,0.99,1.00,1.00
19.00,275.00,272.00,135.00,134.00,140.00,138.00,0.99,0.99,0.99,135.00,1.00,0.99,0.99,140.00,1.00,0.99,0.99,0.99,0.99,0.99,0.00,"2,660.00","2,794.00","2,800.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20.00,244.00,232.00,122.00,116.00,122.00,116.00,0.95,0.95,0.95,122.00,1.00,0.95,0.95,121.00,0.99,0.97,0.97,0.98,0.99,0.98,0.00,"2,440.00","2,558.00","2,562.00",1.00,0.99,1.00,0.99,1.00,1.00,1.00,0.99
21.00,143.00,11.00,67.00,8.00,76.00,3.00,0.12,0.04,0.08,67.00,1.00,0.90,1.00,74.00,0.97,0.83,0.93,0.95,0.97,0.95,0.00,"1,596.00","1,673.00","1,672.00",0.96,0.95,0.96,0.95,0.99,0.99,0.99,0.99
22.00,38.00,0.00,14.00,0.00,24.00,0.00,0.00,0.00,0.00,13.00,0.93,0.43,0.57,18.00,0.75,0.33,0.38,0.75,1.00,0.75,0.00,528.00,535.00,552.00,0.95,0.94,0.92,0.91,0.98,0.96,0.94,0.93
23.00,11.00,0.00,3.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,0.33,0.00,0.00,5.00,0.63,0.00,0.13,0.63,1.00,0.63,0.00,184.00,179.00,192.00,0.90,0.93,0.83,0.86,0.94,0.95,0.86,0.89
