Dictionary Name,Total Sentences per Length,Total Correct Sentences per Length,Total pos->pos sents per len,Correct pos->pos sents per len,Total pos->neg sents per len,Correct pos->neg sents per len,Correct Pos->Pos Transformations,correct Pos->Neg Transformations,Total correct per len,Total parseable sentences (pos->pos),Parseable sentences (pos->pos),Preserve tree structures (pos->pos),Preserve significant clauses (pos->pos),Total parseable sentences pos->neg,Parseable Sentences (pos->neg),Preserve tree structures (pos->neg),Preserve significant clauses (pos->neg),Negates main clause (pos->neg),Negates target (pos->neg),Total source tokens,total prediction tokens per source,total target tokens per source,Pos->pos token precision,Pos->neg token precision,Pos->pos token recall,Pos->neg token recall,Pos->Pos category precision,Pos->neg category precision,Pos->pos category recall,Pos->Neg category recall
3.00,"1,063.00",73.00,547.00,51.00,516.00,22.00,0.09,0.04,0.07,507.00,0.93,0.84,0.09,345.00,0.67,0.49,0.04,0.04,0.06,"1,548.00","2,111.00","2,064.00",0.64,0.73,0.68,0.75,0.92,0.90,0.97,0.92
4.00,275.00,0.00,146.00,0.00,129.00,0.00,0.00,0.00,0.00,87.00,0.60,0.36,0.02,42.00,0.33,0.04,0.01,0.00,0.02,516.00,663.00,645.00,0.51,0.62,0.57,0.63,0.72,0.73,0.81,0.75
5.00,"2,182.00",46.00,"1,122.00",28.00,"1,060.00",18.00,0.03,0.02,0.02,936.00,0.83,0.56,0.07,844.00,0.80,0.55,0.05,0.02,0.22,"5,300.00","6,068.00","6,360.00",0.55,0.64,0.54,0.61,0.78,0.86,0.76,0.82
6.00,552.00,10.00,283.00,6.00,269.00,4.00,0.02,0.01,0.02,212.00,0.75,0.53,0.05,153.00,0.57,0.43,0.04,0.01,0.17,"1,614.00","1,792.00","1,883.00",0.53,0.56,0.52,0.54,0.78,0.78,0.76,0.74
7.00,68.00,0.00,38.00,0.00,30.00,0.00,0.00,0.00,0.00,30.00,0.79,0.00,0.00,23.00,0.77,0.00,0.00,0.00,0.00,210.00,196.00,240.00,0.22,0.25,0.19,0.20,0.49,0.51,0.43,0.42
8.00,42.00,0.00,22.00,0.00,20.00,0.00,0.00,0.00,0.00,15.00,0.68,0.00,0.00,9.00,0.45,0.00,0.00,0.00,0.00,160.00,161.00,180.00,0.30,0.25,0.24,0.22,0.52,0.37,0.42,0.33
9.00,"2,012.00",1.00,"1,050.00",0.00,962.00,1.00,0.00,0.00,0.00,875.00,0.83,0.08,0.02,721.00,0.75,0.03,0.02,0.00,0.14,"8,658.00","7,382.00","9,620.00",0.37,0.42,0.27,0.33,0.69,0.67,0.50,0.52
10.00,955.00,0.00,475.00,0.00,480.00,0.00,0.00,0.00,0.00,364.00,0.77,0.00,0.12,342.00,0.71,0.00,0.05,0.00,0.14,"4,800.00","3,772.00","5,280.00",0.32,0.37,0.22,0.27,0.57,0.60,0.40,0.43
11.00,438.00,0.00,230.00,0.00,208.00,0.00,0.00,0.00,0.00,179.00,0.78,0.02,0.01,132.00,0.63,0.01,0.00,0.00,0.09,"2,288.00","1,710.00","2,496.00",0.28,0.33,0.18,0.23,0.52,0.52,0.33,0.36
12.00,132.00,0.00,57.00,0.00,75.00,0.00,0.00,0.00,0.00,41.00,0.72,0.00,0.00,41.00,0.55,0.00,0.00,0.00,0.17,900.00,578.00,975.00,0.25,0.27,0.15,0.16,0.48,0.42,0.29,0.25
13.00,272.00,0.00,150.00,0.00,122.00,0.00,0.00,0.00,0.00,95.00,0.63,0.00,0.00,65.00,0.53,0.00,0.00,0.00,0.08,"1,586.00","1,179.00","1,708.00",0.19,0.21,0.13,0.14,0.38,0.38,0.25,0.26
