Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences per Length,N/A,N/A,1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Sentences per Length,N/A,N/A,1063,275,2182,552,68,42,2012,954,437,132,272,174,551,379,120,59,270,236,127,32,9
Total pos->pos sents per len,N/A,N/A,547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct pos->pos sents per len,N/A,N/A,547,146,1122,283,38,22,1050,474,230,57,150,79,275,184,61,25,131,117,59,11,2
Total pos->neg sents per len,N/A,N/A,516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct pos->neg sents per len,N/A,N/A,516,129,1060,269,30,20,962,480,207,75,122,95,276,195,59,34,139,119,68,21,7
Correct Pos->Pos Transformations,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.79%,100.0%,100.0%,100.0%,97.53%,99.28%,98.4%,96.83%,92.59%,97.04%,95.9%,88.06%,78.57%,66.67%
correct Pos->Neg Transformations,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,100.0%,100.0%,100.0%,99.64%,99.49%,96.72%,100.0%,99.29%,97.54%,89.47%,87.5%,87.5%
Total correct per len,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.9%,99.77%,100.0%,100.0%,98.86%,99.46%,98.96%,96.77%,96.72%,98.18%,96.72%,88.81%,84.21%,81.82%
Total parseable sentences (pos->pos),N/A,N/A,547,146,1122,283,38,22,1050,475,230,57,150,80,276,187,61,26,134,119,62,12,3
Parseable sentences (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.77%,99.64%,100.0%,96.83%,96.3%,99.26%,97.54%,92.54%,85.71%,100.0%
Preserve tree structures (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.53%,99.28%,99.47%,96.83%,96.3%,98.52%,96.72%,88.06%,78.57%,100.0%
Preserve significant clauses (pos->pos),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.79%,100.0%,100.0%,100.0%,98.77%,99.28%,98.4%,96.83%,92.59%,97.04%,95.9%,88.06%,78.57%,66.67%
Total parseable sentences pos->neg,N/A,N/A,516,129,1060,269,30,20,962,480,208,75,122,95,276,195,60,34,139,120,72,23,8
Parseable Sentences (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.64%,99.49%,98.36%,100.0%,99.29%,98.36%,94.74%,95.83%,100.0%
Preserve tree structures (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,100.0%,100.0%,100.0%,99.64%,99.49%,98.36%,100.0%,99.29%,97.54%,90.79%,87.5%,87.5%
Preserve significant clauses (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,100.0%,100.0%,100.0%,99.64%,99.49%,96.72%,100.0%,99.29%,97.54%,89.47%,87.5%,87.5%
Negates main clause (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.52%,100.0%,100.0%,100.0%,99.64%,99.49%,96.72%,100.0%,99.29%,97.54%,89.47%,87.5%,87.5%
Negates target (pos->neg),N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.49%,100.0%,100.0%,100.0%,97.54%,98.68%,100.0%,100.0%
Total source tokens,N/A,N/A,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
total prediction tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4431,3334,1097,646,2803,2566,1686,561,198
total target tokens per source,N/A,N/A,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->pos token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,99.2%,99.88%,99.9%,98.88%,99.59%,99.69%,98.81%,97.44%,95.54%,98.55%
Pos->neg token precision,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.96%,100.0%,100.0%,100.0%,99.89%,99.88%,99.27%,100.0%,99.89%,99.42%,98.4%,97.33%,95.45%
Pos->pos token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.98%,100.0%,100.0%,100.0%,99.03%,99.78%,99.77%,99.16%,99.59%,99.73%,99.02%,97.3%,97.4%,98.55%
Pos->neg token recall,N/A,N/A,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.96%,100.0%,100.0%,100.0%,99.86%,99.94%,99.18%,100.0%,100.0%,99.57%,99.22%,98.91%,98.44%
