Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences (#),1063,275,2182,552,68,42,2012,955,438,132,272,176,554,383,124,61,275,244,143,38,11
Total Correct Transformations (#),73,0,46,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Pos->Pos Transformations (#),547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3
Correct Pos->Pos Transformations (#),51,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Pos->Neg Transformations (#),516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
Correct Pos->Neg Transformations (#),22,0,18,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),9.32%,0.0%,2.5%,2.12%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Correct Pos->Neg Transformations (%),4.26%,0.0%,1.7%,1.49%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),6.87%,0.0%,2.11%,1.81%,0.0%,0.0%,0.05%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total source tokens,1548,516,5300,1614,210,160,8658,4800,2288,900,1586,1330,4155,3136,1037,612,2660,2440,1596,528,184
Total Prediction Tokens per Source,2111,663,6068,1792,196,161,7382,3772,1710,578,1179,844,2619,1903,586,362,1542,1368,847,246,74
Total Target Tokens per Source,2064,645,6360,1883,240,180,9620,5280,2496,975,1708,1425,4432,3332,1098,646,2800,2562,1672,552,192
Pos->Pos Token Precision (%),64.41%,50.53%,55.09%,53.44%,22.08%,29.79%,37.23%,31.85%,27.72%,25.18%,19.19%,21.09%,20.14%,20.0%,21.43%,16.31%,22.19%,15.88%,17.7%,10.23%,11.11%
