Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),79.6,60.2,414.4,191.2,397.2,199.4,344.2,244.4,702,481,171.4,41.6,172,169.6,81.6,32.4,6.6,2.2
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),79.6,60,414.4,190.8,397.2,199.4,343.8,244.4,702,481,171.4,41.6,172,169.6,81.6,32.4,6.6,2.2
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),0,0.2,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),0.99,1.0,1.0,0.99,0.99,0.99,0.95,0.95,0.92,0.92,0.73,0.53,0.45,0.46,0.29,0.2,0.06,0.02
Correct Pos->Neg Transformations (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Correct Transformations (%),0.44,0.53,0.51,0.47,0.5,0.47,0.48,0.47,0.45,0.45,0.37,0.29,0.22,0.23,0.15,0.1,0.03,0.01
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,827,498.8,3997.4,2405.8,4924,2937.6,5031.2,4043.4,13053.2,9306.2,4112.8,1222,7902.8,7851.4,5775.6,3998.4,3038.4,2003.4
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.98,0.94,0.89,0.9,0.89,0.82,0.77,0.69,0.62
Pos->Neg Token Precision (%),0.36,0.29,0.37,0.35,0.38,0.39,0.37,0.38,0.35,0.39,0.4,0.42,0.34,0.35,0.35,0.35,0.32,0.31
Pos->Pos Token Recall (%),1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.98,0.94,0.89,0.9,0.89,0.82,0.77,0.69,0.62
Pos->Neg Token Recall (%),0.36,0.29,0.38,0.36,0.39,0.4,0.37,0.38,0.36,0.4,0.41,0.42,0.34,0.36,0.35,0.35,0.32,0.31
Pos->Pos Category Precision (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.97,0.93,0.95,0.93,0.89,0.85,0.81,0.75
Pos->Neg Category Precision (%),0.36,0.29,0.38,0.35,0.38,0.39,0.37,0.38,0.36,0.4,0.42,0.45,0.36,0.38,0.39,0.4,0.39,0.39
Pos->Pos Category Recall (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.97,0.93,0.95,0.93,0.89,0.84,0.81,0.74
Pos->Neg Category Recall (%),0.36,0.29,0.38,0.36,0.39,0.4,0.38,0.38,0.37,0.41,0.42,0.45,0.36,0.38,0.39,0.4,0.39,0.38
Parseable Sentences (#),175.4,111,789.2,397,777.4,415,700.6,506.6,1482.6,1015.6,438.2,133,721.2,672.6,476.4,285.4,196,129.8
Pos->Pos Parseable Sentences (#),79.8,60,414.8,191.8,400,201.6,360.2,256.2,756,518.4,229,74,361.8,345.6,252.6,137,85.6,66
Pos->Neg Parseable Sentences (#),95.6,51,374.4,205.2,377.4,213.4,340.4,250.4,726.6,497.2,209.2,59,359.4,327,223.8,148.4,110.4,63.8
Parseable Sentences (%),0.96,0.97,0.98,0.98,0.97,0.98,0.98,0.97,0.95,0.96,0.95,0.93,0.94,0.91,0.87,0.84,0.84,0.75
Pos->Pos Parseable Sentences (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.97,0.94,0.95,0.93,0.89,0.83,0.81,0.72
Pos->Neg Parseable Sentences (%),0.94,0.94,0.96,0.96,0.95,0.96,0.96,0.94,0.91,0.92,0.93,0.92,0.92,0.88,0.85,0.85,0.87,0.79
Pos->Pos Preseve Tree Structures (%),1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.98,0.98,0.97,0.88,0.8,0.79,0.76,0.63,0.52,0.4,0.25
Pos->Pos Preserve Significant Clauses (%),1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.98,0.97,0.91,0.82,0.88,0.84,0.7,0.58,0.5,0.38
Pos->Neg Preseve Tree Structures (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pos->Neg Preserve Significant Clauses (%),0.22,0.19,0.26,0.19,0.29,0.18,0.21,0.19,0.24,0.21,0.15,0.09,0.23,0.18,0.13,0.09,0.08,0.05
Pos->Neg Predictions with Main Clause (#),58.6,40.6,250,159.6,254.6,167.4,214.2,171.8,453.6,367,154,45.6,210.8,210.2,153.6,107,73,42.2
Pos->Neg Predictions that Negate Main Clause (#),34.8,30.8,146.2,119.2,137.8,127.2,136.2,118.8,241.4,239.8,109.2,37,109.8,132.6,105.6,78.2,54.8,34
Pos->Neg Predictions that Negate Outside Main Clause (#),22.6,9.8,102.2,39.8,114.8,39.4,77,52.8,208.2,122.8,43.8,8,98.6,76.8,47.6,28.2,17.6,8.2
Pos->Neg Predictions that Negate Outside Main Clause (%),0.33,0.22,0.37,0.23,0.4,0.21,0.31,0.27,0.37,0.29,0.24,0.16,0.33,0.28,0.26,0.24,0.22,0.19
Pos->Neg Predictions without Main Clause (#),37,10.4,124.4,45.6,122.8,46,126.2,78.6,273,130.2,55.2,13.4,148.6,116.8,70.2,41.4,37.4,21.6
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),0.34,0.57,0.37,0.56,0.35,0.57,0.38,0.45,0.3,0.44,0.48,0.58,0.28,0.36,0.4,0.45,0.43,0.42
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),0.65,0.78,0.63,0.76,0.59,0.78,0.69,0.73,0.63,0.7,0.75,0.83,0.66,0.71,0.74,0.76,0.78,0.81
Pos->Neg Predictions with Main Clause (%),0.57,0.75,0.64,0.75,0.64,0.75,0.61,0.65,0.57,0.68,0.68,0.71,0.54,0.57,0.59,0.61,0.57,0.52
Pos->Neg Predictions Containing the Target Verb (%),0.92,0.99,0.96,0.99,1.0,1.0,0.94,0.94,0.99,0.99,0.98,0.94,0.92,0.92,0.92,0.9,0.82,0.74
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),0.08,0.13,0.0,0.0,0.11,0.12,0.01,0.0,0.07,0.11,0.12,0.06,0.09,0.08,0.12,0.08,0.06,0.09
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),0.08,0.13,0.0,0.0,0.11,0.12,0.01,0.0,0.07,0.11,0.12,0.07,0.1,0.09,0.13,0.09,0.07,0.12
