Task,Model 1,Model 2,Model 3,Model 4,Model 5,Mean
Total Pos->Pos,4967,4967,4967,4967,4967,4967
Total Pos->Neg,5033,5033,5033,5033,5033,5033
Pos->Pos Correct,3597,3711,3812,4044,3786,3790
Pos->Neg Correct,0,1,1,3,0,1
Pos Token Precision,0.91,0.92,0.92,0.94,0.92,0.922
Neg Token Precision,0.35,0.35,0.37,0.33,0.41,0.362
Pos Token Recall,0.91,0.92,0.92,0.94,0.92,0.922
Neg Token Recall,0.36,0.35,0.38,0.34,0.41,0.368
Pos Category Precision,0.95,0.95,0.95,0.97,0.95,0.954
Neg Category Precision,0.37,0.37,0.39,0.34,0.43,0.38
Pos Category Recall,0.95,0.95,0.95,0.97,0.96,0.956
Neg Category Recall,0.38,0.37,0.39,0.35,0.43,0.384
Parseable Pos->Pos,4758,4781,4777,4851,4785,4790.4
Parseable Pos->Neg,4555,4659,4578,4775,4596,4632.6
All Parseable Sentences,9313,9440,9355,9626,9381,9423
Equal Structures Pos->Pos,4298,4342,4372,4527,4415,4390.8
Preserves Clauses Pos->Pos,4455,4465,4506,4649,4550,4525
Equal Structures Pos->Neg,0,1,1,3,0,1
Preserves Clauses Pos->Neg,44,187,1492,379,2986,1017.6
Has Main Clause,3113,2660,3346,2292,4258,3133.8
Negates Main,3061,2459,1594,1889,964,1993.4
Negates Outside Main,47,195,1657,399,3293,1118.2
No Main Clause,1442,1999,1232,2483,338,1498.8
Has Target Verb,4816,4762,4737,4815,4859,4797.8
Negates Target Verb,393,366,340,362,375,367.2
Negates the One Adv Clause,1145,1629,2275,2342,3023,2082.8
Negates the First Adv Clause,325,487,528,458,592,478
Negates Elsewhere,0,0,0,0,0,0
Has one Adv Clause,1145,1629,2275,2342,3023,2082.8
Has more than one Adv Clause,325,487,528,458,592,478
