Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (#),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Prediction Negating the Target Verb (#),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7,182,79.6,80,79.6,102,0,0.99,0,0.44,714,827,816,1,0.36,1,0.36,1,0.36,1,0.36,175.4,79.8,95.6,0.96,1,0.94,1,1,0,0.22,58.6,34.8,22.6,0.33,37,0.34,0.65,0.57,94,0.92,7.8,0.08,0.08
8,114,60.2,60,60,54,0.2,1,0,0.53,432,498.8,486,1,0.29,1,0.29,1,0.29,1,0.29,111,60,51,0.97,1,0.94,1,1,0,0.19,40.6,30.8,9.8,0.22,10.4,0.57,0.78,0.75,53.6,0.99,7,0.13,0.13
9,806,414.4,415,414.4,391,0,1,0,0.51,3519,3997.4,3910,1,0.37,1,0.38,1,0.38,1,0.38,789.2,414.8,374.4,0.98,1,0.96,1,1,0,0.26,250,146.2,102.2,0.37,124.4,0.37,0.63,0.64,375.8,0.96,0.2,0,0
10,406,191.2,192,190.8,214,0.4,0.99,0,0.47,2140,2405.8,2354,1,0.35,1,0.36,1,0.35,1,0.36,397,191.8,205.2,0.98,1,0.96,1,1,0,0.19,159.6,119.2,39.8,0.23,45.6,0.56,0.76,0.75,211.4,0.99,0.6,0,0
11,799,397.2,400,397.2,399,0,0.99,0,0.5,4389,4924,4788,1,0.38,1,0.39,1,0.38,1,0.39,777.4,400,377.4,0.97,1,0.95,1,1,0,0.29,254.6,137.8,114.8,0.4,122.8,0.35,0.59,0.64,398.6,1,43.8,0.11,0.11
12,424,199.4,202,199.4,222,0,0.99,0,0.47,2664,2937.6,2886,1,0.39,1,0.4,1,0.39,1,0.4,415,201.6,213.4,0.98,1,0.96,0.99,0.99,0,0.18,167.4,127.2,39.4,0.21,46,0.57,0.78,0.75,221.8,1,27.6,0.12,0.12
13,715,344.2,361,343.8,354,0.4,0.95,0,0.48,4602,5031.2,4956,0.99,0.37,0.99,0.37,1,0.37,1,0.38,700.6,360.2,340.4,0.98,1,0.96,0.99,0.99,0,0.21,214.2,136.2,77,0.31,126.2,0.38,0.69,0.61,333.8,0.94,4.6,0.01,0.01
14,523,244.4,257,244.4,266,0,0.95,0,0.47,3724,4043.4,3990,0.99,0.38,0.99,0.38,0.99,0.38,0.99,0.38,506.6,256.2,250.4,0.97,1,0.94,0.98,0.99,0,0.19,171.8,118.8,52.8,0.27,78.6,0.45,0.73,0.65,248.8,0.94,0.4,0,0
15,1559,702,761,702,798,0,0.92,0,0.45,11970,13053.2,12768,0.99,0.35,0.99,0.36,0.99,0.36,0.99,0.37,1482.6,756,726.6,0.95,0.99,0.91,0.98,0.98,0,0.24,453.6,241.4,208.2,0.37,273,0.3,0.63,0.57,786.2,0.99,57.2,0.07,0.07
16,1063,481,524,481,539,0,0.92,0,0.45,8624,9306.2,9163,0.98,0.39,0.98,0.4,0.99,0.4,0.99,0.41,1015.6,518.4,497.2,0.96,0.99,0.92,0.97,0.97,0,0.21,367,239.8,122.8,0.29,130.2,0.44,0.7,0.68,532.2,0.99,61,0.11,0.11
17,462,171.4,236,171.4,226,0,0.73,0,0.37,3842,4112.8,4068,0.94,0.4,0.94,0.41,0.97,0.42,0.97,0.42,438.2,229,209.2,0.95,0.97,0.93,0.88,0.91,0,0.15,154,109.2,43.8,0.24,55.2,0.48,0.75,0.68,220.8,0.98,26.2,0.12,0.12
18,143,41.6,79,41.6,64,0,0.53,0,0.29,1152,1222,1216,0.89,0.42,0.89,0.42,0.93,0.45,0.93,0.45,133,74,59,0.93,0.94,0.92,0.8,0.82,0,0.09,45.6,37,8,0.16,13.4,0.58,0.83,0.71,60.4,0.94,4,0.06,0.07
19,768,172,379,172,389,0,0.45,0,0.22,7391,7902.8,7780,0.9,0.34,0.9,0.34,0.95,0.36,0.95,0.36,721.2,361.8,359.4,0.94,0.95,0.92,0.79,0.88,0,0.23,210.8,109.8,98.6,0.33,148.6,0.28,0.66,0.54,356.8,0.92,35.8,0.09,0.1
20,743,169.6,372,169.6,371,0,0.46,0,0.23,7420,7851.4,7791,0.89,0.35,0.89,0.36,0.93,0.38,0.93,0.38,672.6,345.6,327,0.91,0.93,0.88,0.76,0.84,0,0.18,210.2,132.6,76.8,0.28,116.8,0.36,0.71,0.57,340.2,0.92,30.6,0.08,0.09
21,547,81.6,285,81.6,262,0,0.29,0,0.15,5502,5775.6,5764,0.82,0.35,0.82,0.35,0.89,0.39,0.89,0.39,476.4,252.6,223.8,0.87,0.89,0.85,0.63,0.7,0,0.13,153.6,105.6,47.6,0.26,70.2,0.4,0.74,0.59,241.8,0.92,30.8,0.12,0.13
22,340,32.4,166,32.4,174,0,0.2,0,0.1,3828,3998.4,4002,0.77,0.35,0.77,0.35,0.85,0.4,0.84,0.4,285.4,137,148.4,0.84,0.83,0.85,0.52,0.58,0,0.09,107,78.2,28.2,0.24,41.4,0.45,0.76,0.61,157.2,0.9,14.6,0.08,0.09
23,233,6.6,106,6.6,127,0,0.06,0,0.03,2921,3038.4,3048,0.69,0.32,0.69,0.32,0.81,0.39,0.81,0.39,196,85.6,110.4,0.84,0.81,0.87,0.4,0.5,0,0.08,73,54.8,17.6,0.22,37.4,0.43,0.78,0.57,104.6,0.82,7.6,0.06,0.07
24,173,2.2,92,2.2,81,0,0.02,0,0.01,1944,2003.4,2025,0.62,0.31,0.62,0.31,0.75,0.39,0.74,0.38,129.8,66,63.8,0.75,0.72,0.79,0.25,0.38,0,0.05,42.2,34,8.2,0.19,21.6,0.42,0.81,0.52,59.8,0.74,7.4,0.09,0.12
