Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),79,61,413,194,397,200,352,251,729,498,174,55,232,228,121,50,8,5
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),79,60,413,192,397,200,352,251,729,498,174,55,232,228,121,50,8,5
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),98.75%,100.0%,99.52%,100.0%,99.25%,99.01%,97.51%,97.67%,95.8%,95.04%,73.73%,69.62%,61.21%,61.29%,42.46%,30.12%,7.55%,5.43%
Correct Pos->Neg Transformations (%),0.0%,1.85%,0.0%,0.93%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),43.41%,53.51%,51.24%,47.78%,49.69%,47.17%,49.23%,47.99%,46.76%,46.85%,37.66%,38.46%,30.21%,30.69%,22.12%,14.71%,3.43%,2.89%
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,840,499,4012,2424,5003,2971,5048,4065,13264,9443,4144,1233,7942,7865,5757,4000,3006,2000
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),99.82%,100.0%,99.95%,100.0%,99.91%,99.71%,99.64%,99.44%,99.05%,98.81%,95.49%,94.8%,93.93%,92.93%,86.48%,81.63%,74.99%,68.78%
Pos->Neg Token Precision (%),35.83%,29.66%,37.09%,34.53%,33.78%,36.39%,33.74%,34.93%,29.11%,33.56%,36.73%,41.52%,27.16%,31.56%,34.45%,35.98%,35.53%,34.15%
Pos->Pos Token Recall (%),99.29%,100.0%,99.95%,100.0%,99.91%,99.71%,99.6%,99.44%,99.04%,98.77%,95.44%,94.8%,93.85%,92.94%,86.47%,81.38%,74.65%,67.93%
Pos->Neg Token Recall (%),36.89%,30.45%,38.06%,35.56%,35.3%,37.46%,34.36%,35.59%,30.24%,34.58%,37.41%,42.11%,27.72%,31.86%,34.4%,35.96%,35.04%,33.73%
Pos->Pos Category Precision (%),99.82%,100.0%,99.97%,100.0%,100.0%,99.79%,99.74%,99.86%,99.39%,99.13%,97.86%,97.33%,97.47%,96.02%,91.14%,87.26%,85.74%,81.43%
Pos->Neg Category Precision (%),35.83%,29.66%,37.09%,34.53%,33.82%,36.45%,33.97%,35.18%,29.37%,33.74%,37.86%,43.47%,28.29%,33.05%,37.42%,39.8%,41.62%,41.85%
Pos->Pos Category Recall (%),99.29%,100.0%,99.97%,100.0%,100.0%,99.79%,99.7%,99.86%,99.37%,99.09%,97.81%,97.33%,97.39%,96.03%,91.13%,86.99%,85.36%,80.43%
Pos->Neg Category Recall (%),36.89%,30.45%,38.06%,35.56%,35.34%,37.53%,34.6%,35.84%,30.51%,34.77%,38.57%,44.08%,28.88%,33.36%,37.37%,39.78%,41.04%,41.33%
Parseable Sentences (#),176,112,790,398,786,417,705,507,1521,1028,445,140,741,709,499,289,209,154
Pos->Pos Parseable Sentences (#),79,60,414,192,400,202,360,257,755,521,231,76,371,361,265,136,94,77
Pos->Neg Parseable Sentences (#),97,52,376,206,386,215,345,250,766,507,214,64,370,348,234,153,115,77
Parseable Sentences (%),96.7%,98.25%,98.01%,98.03%,98.37%,98.35%,98.6%,96.94%,97.56%,96.71%,96.32%,97.9%,96.48%,95.42%,91.22%,85.0%,89.7%,89.02%
Pos->Pos Parseable Sentences (%),98.75%,100.0%,99.76%,100.0%,100.0%,100.0%,99.72%,100.0%,99.21%,99.43%,97.88%,96.2%,97.89%,97.04%,92.98%,81.93%,88.68%,83.7%
Pos->Neg Parseable Sentences (%),95.1%,96.3%,96.16%,96.26%,96.74%,96.85%,97.46%,93.98%,95.99%,94.06%,94.69%,100.0%,95.12%,93.8%,89.31%,87.93%,90.55%,95.06%
Pos->Pos Preseve Tree Structures (%),98.75%,100.0%,99.76%,100.0%,100.0%,99.5%,98.34%,99.61%,97.77%,97.71%,91.1%,89.87%,86.28%,84.68%,70.53%,58.43%,51.89%,35.87%
Pos->Pos Preserve Significant Clauses (%),98.75%,100.0%,99.76%,100.0%,100.0%,99.5%,98.89%,100.0%,98.55%,98.28%,92.8%,91.14%,93.4%,90.05%,75.79%,66.27%,63.21%,55.43%
Pos->Neg Preseve Tree Structures (%),0.0%,1.85%,0.0%,0.93%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),28.43%,12.96%,20.72%,14.02%,13.78%,6.31%,4.24%,5.26%,6.14%,8.53%,4.42%,3.12%,1.54%,2.16%,2.67%,2.3%,1.57%,0.0%
Pos->Neg Predictions with Main Clause (#),66,36,227,139,183,137,145,117,252,250,116,41,111,139,124,92,69,48
Pos->Neg Predictions that Negate Main Clause (#),36,30,146,111,128,122,130,102,196,202,106,38,104,128,113,84,66,47
Pos->Neg Predictions that Negate Outside Main Clause (#),29,6,81,28,55,14,15,15,56,48,10,3,7,10,11,7,3,1
Pos->Neg Predictions that Negate Outside Main Clause (%),43.94%,16.67%,35.68%,20.14%,30.05%,10.22%,10.34%,12.82%,22.22%,19.2%,8.62%,7.32%,6.31%,7.19%,8.87%,7.61%,4.35%,2.08%
Pos->Neg Predictions without Main Clause (#),31,16,149,67,203,78,200,133,514,257,98,23,259,209,110,61,46,29
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),35.29%,55.56%,37.34%,51.87%,32.08%,54.95%,36.72%,38.35%,24.56%,37.48%,46.9%,59.38%,26.74%,34.5%,43.13%,48.28%,51.97%,58.02%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),54.55%,83.33%,64.32%,79.86%,69.95%,89.05%,89.66%,87.18%,77.78%,80.8%,91.38%,92.68%,93.69%,92.09%,91.13%,91.3%,95.65%,97.92%
Pos->Neg Predictions with Main Clause (%),64.71%,66.67%,58.06%,64.95%,45.86%,61.71%,40.96%,43.98%,31.58%,46.38%,51.33%,64.06%,28.53%,37.47%,47.33%,52.87%,54.33%,59.26%
Pos->Neg Predictions Containing the Target Verb (#),100,53,377,212,399,222,323,245,786,538,222,62,366,346,245,163,101,55
Pos->Neg Predictions Containing the Target Verb (%),98.04%,98.15%,96.42%,99.07%,100.0%,100.0%,91.24%,92.11%,98.5%,99.81%,98.23%,96.88%,94.09%,93.26%,93.51%,93.68%,79.53%,67.9%
Pos->Neg Prediction Negating the Target Verb (#),8,8,0,2,44,28,4,0,56,60,26,4,34,30,30,14,7,7
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),7.84%,14.81%,0.0%,0.93%,11.03%,12.61%,1.13%,0.0%,7.02%,11.13%,11.5%,6.25%,8.74%,8.09%,11.45%,8.05%,5.51%,8.64%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),8.0%,15.09%,0.0%,0.94%,11.03%,12.61%,1.24%,0.0%,7.12%,11.15%,11.71%,6.45%,9.29%,8.67%,12.24%,8.59%,6.93%,12.73%
