Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),80,60.8,415.2,192.8,400,202,361,257.4,761.6,524.4,236,78.4,378,370.4,232.6,42,1.4,0
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,235.8,78.4,378,370.4,232.4,42,1.4,0
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),0,0.8,0.2,0.8,0,0,0,0.4,0.6,0.4,0.2,0,0,0,0.2,0,0,0
Correct Pos->Pos Transformations (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.82,0.25,0.01,0.0
Correct Pos->Neg Transformations (%),0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Correct Transformations (%),0.44,0.53,0.52,0.47,0.5,0.48,0.5,0.49,0.49,0.49,0.51,0.55,0.49,0.5,0.43,0.12,0.01,0.0
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,815.8,485.2,3909,2345,4785.4,2873.6,4953.4,3980.2,12761.6,9136.6,4052.2,1212.2,7778.8,7767,5748,3983.6,2965.8,1937.4
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.96,0.95,0.92
Pos->Neg Token Precision (%),0.5,0.55,0.5,0.53,0.5,0.53,0.51,0.52,0.5,0.52,0.52,0.54,0.51,0.52,0.51,0.47,0.46,0.42
Pos->Pos Token Recall (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.96,0.92,0.88
Pos->Neg Token Recall (%),0.5,0.54,0.5,0.53,0.5,0.53,0.51,0.52,0.5,0.52,0.52,0.54,0.51,0.52,0.51,0.47,0.45,0.4
Pos->Pos Category Precision (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.97
Pos->Neg Category Precision (%),0.5,0.55,0.5,0.53,0.5,0.53,0.51,0.52,0.5,0.52,0.52,0.54,0.51,0.52,0.52,0.5,0.5,0.46
Pos->Pos Category Recall (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.96,0.93
Pos->Neg Category Recall (%),0.5,0.54,0.5,0.53,0.5,0.53,0.51,0.52,0.5,0.52,0.52,0.54,0.51,0.52,0.52,0.5,0.49,0.44
Parseable Sentences (#),181.2,101.4,798,356.8,786.4,378,701.6,478.2,1536.2,987.2,421.2,129.2,758.4,705.6,519,304.2,200.6,135.2
Pos->Pos Parseable Sentences (#),80,60,415,192,400,202,361,257,761,524,235.8,78.4,378.8,371.6,283.6,161.6,99,77.6
Pos->Neg Parseable Sentences (#),101.2,41.4,383,164.8,386.4,176,340.6,221.2,775.2,463.2,185.4,50.8,379.6,334,235.4,142.6,101.6,57.6
Parseable Sentences (%),1.0,0.89,0.99,0.88,0.98,0.89,0.98,0.91,0.99,0.93,0.91,0.9,0.99,0.95,0.95,0.89,0.86,0.78
Pos->Pos Parseable Sentences (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.97,0.93,0.84
Pos->Neg Parseable Sentences (%),0.99,0.77,0.98,0.77,0.97,0.79,0.96,0.83,0.97,0.86,0.82,0.79,0.98,0.9,0.9,0.82,0.8,0.71
Pos->Pos Preseve Tree Structures (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.91,0.58,0.39
Pos->Pos Preserve Significant Clauses (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.91,0.59,0.45
Pos->Neg Preseve Tree Structures (%),0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pos->Neg Preserve Significant Clauses (%),0.99,0.75,0.98,0.74,0.96,0.74,0.95,0.8,0.97,0.82,0.76,0.76,0.97,0.87,0.86,0.73,0.54,0.39
Pos->Neg Predictions with Main Clause (#),101.2,41.4,383,164,386.2,175.8,340.6,221.2,775.2,462.8,184.8,50.4,379.2,332.6,233.6,141.6,96.2,49.6
Pos->Neg Predictions that Negate Main Clause (#),0,0.8,0.2,0.8,0,0,0,0.4,0.6,0.4,0.4,0,0,0,0.2,0,0,0
Pos->Neg Predictions that Negate Outside Main Clause (#),101.2,39.6,381.8,157.2,383.8,165,337.6,213.2,769.8,440.4,172.4,48.4,378.6,321.8,225.6,136,93.6,47.4
Pos->Neg Predictions that Negate Outside Main Clause (%),1.0,0.95,1.0,0.95,0.99,0.94,0.99,0.96,0.99,0.95,0.93,0.96,1.0,0.97,0.97,0.96,0.97,0.95
Pos->Neg Predictions without Main Clause (#),0,0,0,0.8,0.2,0.2,0,0,0,0.4,0.6,0.4,0.4,1.4,1.8,1,5.4,8
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pos->Neg Predictions with Main Clause (%),0.99,0.77,0.98,0.77,0.97,0.79,0.96,0.83,0.97,0.86,0.82,0.79,0.97,0.9,0.89,0.81,0.76,0.61
Pos->Neg Predictions Containing the Target Verb (#),102,54,391,213,399,221.8,354,265.2,797.8,538.8,226,64,388.6,369.4,260.2,172,114.2,70.2
Pos->Neg Predictions Containing the Target Verb (%),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.9,0.87
Pos->Neg Prediction Negating the Target Verb (#),8,5.8,0.4,0.8,44,23,2.8,1,56.6,48.2,22.4,3.6,34,24.8,27.6,12.2,4.6,5.2
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),0.08,0.11,0.0,0.0,0.11,0.1,0.01,0.0,0.07,0.09,0.1,0.06,0.09,0.07,0.11,0.07,0.04,0.06
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),0.08,0.11,0.0,0.0,0.11,0.1,0.01,0.0,0.07,0.09,0.1,0.06,0.09,0.07,0.11,0.07,0.04,0.07
