Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7.00,182.00,80.00,80.00,80.00,102.00,0.00,1.00,0.00,0.44,714.00,815.00,816.00,1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,180.00,80.00,100.00,0.99,1.00,0.98,1.00,1.00,0.00,0.98,100.00,0.00,100.00,1.00,0.00,0.00,0.00,0.98,1.00,0.08,0.08
8.00,114.00,60.00,60.00,60.00,54.00,0.00,1.00,0.00,0.53,432.00,486.00,486.00,1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,113.00,60.00,53.00,0.99,1.00,0.98,1.00,1.00,0.00,0.98,53.00,0.00,53.00,1.00,0.00,0.00,0.00,0.98,1.00,0.11,0.11
9.00,806.00,415.00,415.00,415.00,391.00,0.00,1.00,0.00,0.51,"3,519.00","3,910.00","3,910.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,800.00,415.00,385.00,0.99,1.00,0.98,1.00,1.00,0.00,0.98,385.00,0.00,385.00,1.00,0.00,0.00,0.00,0.98,1.00,0.00,0.00
10.00,406.00,192.00,192.00,192.00,214.00,0.00,1.00,0.00,0.47,"2,140.00","2,354.00","2,354.00",1.00,0.49,1.00,0.49,1.00,0.49,1.00,0.49,404.00,192.00,212.00,1.00,1.00,0.99,1.00,1.00,0.00,0.99,212.00,0.00,212.00,1.00,0.00,0.00,0.00,0.99,1.00,0.00,0.00
11.00,799.00,400.00,400.00,400.00,399.00,0.00,1.00,0.00,0.50,"4,389.00","4,788.00","4,788.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,796.00,400.00,396.00,1.00,1.00,0.99,1.00,1.00,0.00,0.99,396.00,0.00,396.00,1.00,0.00,0.00,0.00,0.99,1.00,0.11,0.11
12.00,424.00,202.00,202.00,202.00,222.00,0.00,1.00,0.00,0.48,"2,664.00","2,886.00","2,886.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,420.00,202.00,218.00,0.99,1.00,0.98,1.00,1.00,0.00,0.98,218.00,0.00,218.00,1.00,0.00,0.00,0.00,0.98,1.00,0.13,0.13
13.00,715.00,361.00,361.00,361.00,354.00,0.00,1.00,0.00,0.50,"4,602.00","4,956.00","4,956.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,713.00,361.00,352.00,1.00,1.00,0.99,1.00,1.00,0.00,0.99,352.00,0.00,352.00,1.00,0.00,0.00,0.00,0.99,1.00,0.01,0.01
14.00,523.00,257.00,257.00,257.00,266.00,0.00,1.00,0.00,0.49,"3,724.00","3,990.00","3,990.00",1.00,0.49,1.00,0.49,1.00,0.49,1.00,0.49,520.00,257.00,263.00,0.99,1.00,0.99,1.00,1.00,0.00,0.99,263.00,0.00,263.00,1.00,0.00,0.00,0.00,0.99,1.00,0.00,0.00
15.00,"1,559.00",761.00,761.00,761.00,798.00,0.00,1.00,0.00,0.49,"11,970.00","12,768.00","12,768.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,"1,556.00",761.00,795.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,795.00,0.00,795.00,1.00,0.00,0.00,0.00,1.00,1.00,0.07,0.07
16.00,"1,063.00",524.00,524.00,524.00,539.00,0.00,1.00,0.00,0.49,"8,624.00","9,162.00","9,163.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,"1,054.00",524.00,530.00,0.99,1.00,0.98,1.00,1.00,0.00,0.98,530.00,0.00,530.00,1.00,0.00,0.00,0.00,0.98,1.00,0.11,0.11
