Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7.00,182.00,80.00,80.00,80.00,102.00,0.00,1.00,0.00,0.44,714.00,798.00,816.00,1.00,0.51,1.00,0.50,1.00,0.51,1.00,0.50,160.00,80.00,80.00,0.88,1.00,0.78,1.00,1.00,0.00,0.78,80.00,0.00,80.00,1.00,0.00,0.00,0.00,0.78,1.00,0.08,0.08
8.00,114.00,60.00,60.00,60.00,54.00,0.00,1.00,0.00,0.53,432.00,483.00,486.00,1.00,0.51,1.00,0.50,1.00,0.51,1.00,0.50,106.00,60.00,46.00,0.93,1.00,0.85,1.00,1.00,0.00,0.85,46.00,0.00,46.00,1.00,0.00,0.00,0.00,0.85,1.00,0.11,0.11
9.00,806.00,415.00,415.00,415.00,391.00,0.00,1.00,0.00,0.51,"3,519.00","3,870.00","3,910.00",1.00,0.51,1.00,0.51,1.00,0.51,1.00,0.51,732.00,415.00,317.00,0.91,1.00,0.81,1.00,1.00,0.00,0.80,317.00,0.00,313.00,0.99,0.00,0.00,0.00,0.81,1.00,0.00,0.00
10.00,406.00,192.00,192.00,192.00,214.00,0.00,1.00,0.00,0.47,"2,140.00","2,315.00","2,354.00",1.00,0.50,1.00,0.49,1.00,0.50,1.00,0.49,363.00,192.00,171.00,0.89,1.00,0.80,1.00,1.00,0.00,0.79,171.00,0.00,169.00,0.99,0.00,0.00,0.00,0.80,0.99,0.00,0.00
11.00,799.00,397.00,400.00,397.00,399.00,0.00,0.99,0.00,0.50,"4,389.00","4,756.00","4,788.00",1.00,0.51,1.00,0.50,1.00,0.51,1.00,0.50,742.00,399.00,343.00,0.93,1.00,0.86,1.00,1.00,0.00,0.85,343.00,0.00,340.00,0.99,0.00,0.00,0.00,0.86,1.00,0.10,0.10
12.00,424.00,201.00,202.00,201.00,222.00,0.00,1.00,0.00,0.47,"2,664.00","2,856.00","2,886.00",1.00,0.51,1.00,0.51,1.00,0.51,1.00,0.51,383.00,201.00,182.00,0.90,1.00,0.82,1.00,1.00,0.00,0.82,182.00,0.00,182.00,1.00,0.00,0.00,0.00,0.82,1.00,0.12,0.12
13.00,715.00,359.00,361.00,359.00,354.00,0.00,0.99,0.00,0.50,"4,602.00","4,890.00","4,956.00",1.00,0.51,1.00,0.50,1.00,0.51,1.00,0.50,640.00,359.00,281.00,0.90,0.99,0.79,0.99,0.99,0.00,0.79,281.00,0.00,278.00,0.99,0.00,0.00,0.00,0.79,0.99,0.01,0.01
14.00,523.00,256.00,257.00,256.00,266.00,0.00,1.00,0.00,0.49,"3,724.00","3,944.00","3,990.00",1.00,0.50,1.00,0.49,1.00,0.50,1.00,0.49,471.00,257.00,214.00,0.90,1.00,0.80,1.00,1.00,0.00,0.79,214.00,0.00,212.00,0.99,0.00,0.00,0.00,0.80,1.00,0.00,0.00
15.00,"1,559.00",758.00,761.00,758.00,798.00,0.00,1.00,0.00,0.49,"11,970.00","12,635.00","12,768.00",1.00,0.50,1.00,0.50,1.00,0.50,1.00,0.50,"1,423.00",759.00,664.00,0.91,1.00,0.83,1.00,1.00,0.00,0.81,663.00,0.00,649.00,0.98,1.00,0.00,0.00,0.83,1.00,0.07,0.07
16.00,"1,063.00",524.00,524.00,524.00,539.00,0.00,1.00,0.00,0.49,"8,624.00","9,101.00","9,163.00",1.00,0.49,1.00,0.49,1.00,0.49,1.00,0.49,985.00,524.00,461.00,0.93,1.00,0.86,1.00,1.00,0.00,0.85,461.00,0.00,457.00,0.99,0.00,0.00,0.00,0.86,1.00,0.11,0.11
