Dictionary Name,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),182,114,806,406,799,424,715,523,1559,1063,462,143,768,743,547,340,233,173
Total Correct Transformations (#),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Pos->Pos Transformations (#),80,60,415,192,400,202,361,257,761,524,236,79,379,372,285,166,106,92
Correct Pos->Pos Transformations (#),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Pos->Neg Transformations (#),102,54,391,214,399,222,354,266,798,539,226,64,389,371,262,174,127,81
Correct Pos->Neg Transformations (#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),0.0%,0.0%,0.0%,0.0%,0.25%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Correct Pos->Neg Transformations (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),0.0%,0.0%,0.0%,0.0%,0.13%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total source tokens,714,432,3519,2140,4389,2664,4602,3724,11970,8624,3842,1152,7391,7420,5502,3828,2921,1944
Total Prediction Tokens per Source,732,425,3819,2136,4196,2439,4893,3801,12247,8794,3777,1031,6318,6022,4439,3165,2377,1644
Total Target Tokens per Source,816,486,3910,2354,4788,2886,4956,3990,12768,9163,4068,1216,7780,7791,5764,4002,3048,2025
Pos->Pos Token Precision (%),44.3%,44.27%,37.2%,39.18%,45.27%,46.08%,33.09%,30.4%,31.28%,30.01%,31.95%,32.24%,30.62%,32.39%,29.67%,27.33%,28.51%,24.72%
Pos->Neg Token Precision (%),28.42%,32.47%,26.94%,29.35%,32.13%,31.49%,22.17%,22.23%,24.21%,23.93%,25.18%,23.57%,21.4%,22.57%,22.66%,22.05%,20.82%,18.98%
Pos->Pos Token Recall (%),36.79%,36.25%,39.06%,37.6%,42.57%,40.22%,34.31%,31.88%,33.64%,32.06%,32.53%,29.68%,27.26%,27.33%,26.22%,23.44%,22.89%,19.02%
Pos->Neg Token Recall (%),25.49%,28.4%,26.32%,26.64%,28.15%,26.61%,21.89%,21.18%,23.22%,22.96%,23.38%,19.98%,17.38%,17.44%,17.45%,17.44%,16.24%,15.41%
Pos->Pos Category Precision (%),61.72%,65.14%,48.9%,51.17%,58.96%,59.17%,43.75%,40.55%,40.29%,39.95%,43.83%,45.99%,41.37%,45.24%,40.9%,38.6%,39.81%,39.61%
Pos->Neg Category Precision (%),36.89%,40.24%,34.17%,37.17%,40.37%,40.18%,28.96%,28.97%,32.02%,32.28%,34.82%,34.43%,29.3%,29.69%,31.99%,30.43%,28.61%,29.01%
Pos->Pos Category Recall (%),51.25%,53.33%,51.35%,49.11%,55.43%,51.65%,45.37%,42.52%,43.33%,42.68%,44.62%,42.33%,36.83%,38.17%,36.14%,33.11%,31.95%,30.48%
Pos->Neg Category Recall (%),33.09%,35.19%,33.38%,33.73%,35.38%,33.96%,28.59%,27.59%,30.71%,30.98%,32.33%,29.19%,23.79%,22.95%,24.64%,24.06%,22.31%,23.56%
Parseable Sentences (#),127,82,511,255,462,246,294,206,484,270,162,77,198,166,140,88,53,36
Pos->Pos Parseable Sentences (#),68,44,314,135,262,127,168,106,237,135,92,44,91,79,63,40,27,21
Pos->Neg Parseable Sentences (#),59,38,197,120,200,119,126,100,247,135,70,33,107,87,77,48,26,15
Parseable Sentences (%),69.78%,71.93%,63.4%,62.81%,57.82%,58.02%,41.12%,39.39%,31.05%,25.4%,35.06%,53.85%,25.78%,22.34%,25.59%,25.88%,22.75%,20.81%
Pos->Pos Parseable Sentences (%),85.0%,73.33%,75.66%,70.31%,65.5%,62.87%,46.54%,41.25%,31.14%,25.76%,38.98%,55.7%,24.01%,21.24%,22.11%,24.1%,25.47%,22.83%
Pos->Neg Parseable Sentences (%),57.84%,70.37%,50.38%,56.07%,50.13%,53.6%,35.59%,37.59%,30.95%,25.05%,30.97%,51.56%,27.51%,23.45%,29.39%,27.59%,20.47%,18.52%
Pos->Pos Preseve Tree Structures (%),2.5%,1.67%,4.82%,0.52%,12.0%,9.9%,2.22%,1.56%,0.53%,0.19%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Pos Preserve Significant Clauses (%),2.5%,1.67%,5.06%,0.52%,12.75%,9.9%,2.22%,1.56%,0.79%,0.19%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preseve Tree Structures (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Preserve Significant Clauses (%),0.98%,0.0%,2.56%,0.93%,5.01%,2.7%,0.56%,0.0%,0.38%,0.19%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Pos->Neg Predictions with Main Clause (#),8,6,44,22,63,30,25,17,54,34,9,5,18,17,12,8,3,4
Pos->Neg Predictions that Negate Main Clause (#),7,3,19,7,18,12,16,7,41,24,5,4,11,11,10,4,3,3
Pos->Neg Predictions that Negate Outside Main Clause (#),1,3,22,12,40,18,7,9,10,6,4,1,7,4,1,1,0,1
Pos->Neg Predictions that Negate Outside Main Clause (%),12.5%,50.0%,50.0%,54.55%,63.49%,60.0%,28.0%,52.94%,18.52%,17.65%,44.44%,20.0%,38.89%,23.53%,8.33%,12.5%,0.0%,25.0%
Pos->Neg Predictions without Main Clause (#),51,32,153,98,137,89,101,83,193,101,61,28,89,70,65,40,23,11
Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),6.86%,5.56%,4.86%,3.27%,4.51%,5.41%,4.52%,2.63%,5.14%,4.45%,2.21%,6.25%,2.83%,2.96%,3.82%,2.3%,2.36%,3.7%
Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),87.5%,50.0%,43.18%,31.82%,28.57%,40.0%,64.0%,41.18%,75.93%,70.59%,55.56%,80.0%,61.11%,64.71%,83.33%,50.0%,100.0%,75.0%
Pos->Neg Predictions with Main Clause (%),7.84%,11.11%,11.25%,10.28%,15.79%,13.51%,7.06%,6.39%,6.77%,6.31%,3.98%,7.81%,4.63%,4.58%,4.58%,4.6%,2.36%,4.94%
Pos->Neg Predictions Containing the Target Verb (#),81,42,217,108,181,96,169,124,354,249,101,19,164,152,104,53,48,25
Pos->Neg Predictions Containing the Target Verb (%),79.41%,77.78%,55.5%,50.47%,45.36%,43.24%,47.74%,46.62%,44.36%,46.2%,44.69%,29.69%,42.16%,40.97%,39.69%,30.46%,37.8%,30.86%
Pos->Neg Prediction Negating the Target Verb (#),75,39,186,96,140,72,122,93,212,140,63,17,87,79,56,30,26,9
Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),73.53%,72.22%,47.57%,44.86%,35.09%,32.43%,34.46%,34.96%,26.57%,25.97%,27.88%,26.56%,22.37%,21.29%,21.37%,17.24%,20.47%,11.11%
Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb),92.59%,92.86%,85.71%,88.89%,77.35%,75.0%,72.19%,75.0%,59.89%,56.22%,62.38%,89.47%,53.05%,51.97%,53.85%,56.6%,54.17%,36.0%
