Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2136,542,59,28,1896,939,324,111,168,119,371,234,79,16,91,87,31,13,4,1
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,109,82,236,152,59,7,68,54,21,9,3,0
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,11,933,443,117,32,59,37,135,82,20,9,23,33,10,4,1,1
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.2%,95.35%,93.65%,94.41%,75.64%,31.82%,49.28%,45.38%,25.3%,24.32%,8.33%,0.0%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,57.89%,92.84%,91.53%,63.59%,46.38%,49.58%,40.66%,50.75%,44.09%,25.64%,30.0%,19.33%,23.08%,10.87%,12.12%,3.45%,5.56%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,71.08%,77.78%,96.34%,95.82%,82.86%,75.0%,73.04%,67.23%,71.62%,67.44%,50.64%,30.77%,35.41%,33.21%,17.71%,18.57%,6.15%,2.38%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,341,172,10071,5331,2232,903,1680,1378,4312,3206,1420,572,2422,3049,2038,769,704,455
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.79%,98.67%,98.84%,98.87%,94.49%,83.54%,89.14%,89.79%,82.58%,76.52%,74.18%,61.03%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,62.17%,69.77%,95.16%,94.47%,77.06%,66.67%,69.88%,64.01%,68.48%,64.72%,55.21%,66.61%,52.97%,55.56%,51.23%,50.85%,45.45%,37.8%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.79%,98.75%,98.86%,98.76%,94.42%,84.6%,89.55%,89.75%,82.67%,77.27%,73.91%,61.46%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,61.63%,70.18%,95.36%,94.59%,77.9%,67.11%,70.47%,64.62%,69.38%,65.62%,55.84%,66.84%,53.91%,56.41%,51.58%,51.52%,45.98%,38.22%
