Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1103,262,2136,542,59,29,1896,939,325,111,170,126,391,248,105,34,183,177,114,51,6,2
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,21,138,118,83,37,4,1
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),559,129,1064,287,19,12,933,443,118,32,59,40,139,87,27,13,45,59,31,14,2,1
Correct Pos->Pos Transformations (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.45%,100.0%,99.16%,100.0%,100.0%,11.11%,4.17%
Correct Pos->Neg Transformations (%),100.0%,100.0%,100.0%,100.0%,44.19%,63.16%,92.84%,91.53%,64.13%,46.38%,49.58%,43.96%,52.26%,46.77%,34.62%,43.33%,37.82%,41.26%,33.7%,42.42%,6.9%,5.56%
Total Correct Transformations (%),100.0%,100.0%,100.0%,100.0%,71.08%,80.56%,96.34%,95.82%,83.12%,75.0%,73.91%,71.19%,75.48%,71.47%,67.31%,65.38%,71.21%,67.56%,65.14%,72.86%,9.23%,4.76%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6384,2009,344,171,10050,5323,2208,894,1664,1363,4254,3150,1402,568,2380,3004,2016,758,694,436
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.74%,100.0%,100.0%,100.0%,100.0%,94.65%,92.91%
Pos->Neg Token Precision (%),100.0%,100.0%,100.0%,100.0%,71.8%,83.63%,96.2%,95.79%,82.07%,76.62%,77.04%,73.29%,77.03%,74.35%,69.26%,75.88%,68.99%,71.44%,67.06%,70.32%,65.99%,55.28%
Pos->Pos Token Recall (%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.99%,100.0%,99.87%,100.0%,100.0%,96.14%,93.23%
Pos->Neg Token Recall (%),100.0%,100.0%,100.0%,100.0%,71.8%,83.63%,96.2%,95.77%,82.07%,76.37%,76.95%,73.19%,77.0%,74.07%,69.16%,75.61%,68.99%,71.46%,66.8%,70.22%,65.8%,53.56%
