Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Total Sentences per Length,N/A,N/A,N/A,N/A,N/A,N/A,178,92,795,355,896,388,747,559,1563,1050,445,163,849,744,566,345,266
Total Correct Sentences per Length,N/A,N/A,N/A,N/A,N/A,N/A,177,92,795,349,887,363,679,523,1331,906,340,93,597,557,313,14,1
Total pos->pos sents per len,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
Correct pos->pos sents per len,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Total pos->neg sents per len,N/A,N/A,N/A,N/A,N/A,N/A,178,92,795,355,896,388,747,559,1563,1050,444,163,849,744,566,345,266
Correct pos->neg sents per len,N/A,N/A,N/A,N/A,N/A,N/A,177,92,795,349,887,363,679,523,1331,906,340,93,597,557,313,14,1
Correct Pos->Pos Transformations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A
correct Pos->Neg Transformations,N/A,N/A,N/A,N/A,N/A,N/A,99.44%,100.0%,100.0%,98.31%,99.0%,93.56%,90.9%,93.56%,85.16%,86.29%,76.58%,57.06%,70.32%,74.87%,55.3%,4.06%,0.38%
Total correct per len,N/A,N/A,N/A,N/A,N/A,N/A,99.44%,100.0%,100.0%,98.31%,99.0%,93.56%,90.9%,93.56%,85.16%,86.29%,76.4%,57.06%,70.32%,74.87%,55.3%,4.06%,0.38%
Total parseable sentences (pos->pos),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Parseable sentences (pos->pos),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A
