Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
3.00,"1,103.00","1,096.00",544.00,538.00,559.00,558.00,0.99,1.00,0.99,"1,677.00","2,236.00","2,236.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,103.00",544.00,559.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,559.00,559.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
4.00,262.00,252.00,133.00,127.00,129.00,125.00,0.95,0.97,0.96,516.00,645.00,645.00,0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00,262.00,133.00,129.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,129.00,129.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
5.00,"2,136.00","1,808.00","1,072.00",929.00,"1,064.00",879.00,0.87,0.83,0.85,"5,320.00","6,378.00","6,384.00",0.97,0.97,0.97,0.97,1.00,1.00,1.00,1.00,"2,130.00","1,072.00","1,058.00",1.00,1.00,0.99,1.00,1.00,0.98,0.98,"1,058.00","1,058.00",0.00,0.00,0.00,0.99,1.00,0.99,0.86,0.86,1.00
6.00,542.00,372.00,255.00,164.00,287.00,208.00,0.64,0.72,0.69,"1,722.00","2,035.00","2,009.00",0.89,0.92,0.89,0.93,0.99,0.98,0.99,0.99,531.00,252.00,279.00,0.98,0.99,0.97,0.98,0.98,0.96,0.96,279.00,277.00,0.00,0.00,0.00,0.97,0.99,0.97,0.83,0.82,0.99
7.00,83.00,0.00,40.00,0.00,43.00,0.00,0.00,0.00,0.00,301.00,285.00,344.00,0.47,0.44,0.36,0.36,0.70,0.59,0.54,0.49,69.00,36.00,33.00,0.83,0.90,0.77,0.10,0.10,0.09,0.09,22.00,22.00,0.00,0.00,11.00,0.51,1.00,0.51,0.49,0.44,0.90
8.00,36.00,0.00,17.00,0.00,19.00,0.00,0.00,0.00,0.00,152.00,167.00,171.00,0.34,0.33,0.36,0.32,0.50,0.46,0.53,0.45,24.00,13.00,11.00,0.67,0.76,0.58,0.12,0.12,0.00,0.00,9.00,9.00,0.00,0.00,2.00,0.47,1.00,0.47,0.37,0.32,0.86
9.00,"1,968.00",53.00,963.00,32.00,"1,005.00",21.00,0.03,0.02,0.03,"9,045.00","10,255.00","10,050.00",0.68,0.68,0.68,0.70,0.83,0.82,0.83,0.84,"1,656.00",827.00,829.00,0.84,0.86,0.82,0.43,0.55,0.42,0.56,805.00,799.00,3.00,0.00,24.00,0.80,0.99,0.80,0.78,0.77,0.98
10.00,980.00,8.00,496.00,4.00,484.00,4.00,0.01,0.01,0.01,"4,840.00","5,218.00","5,324.00",0.64,0.67,0.64,0.65,0.80,0.79,0.79,0.78,765.00,394.00,371.00,0.78,0.79,0.77,0.38,0.44,0.37,0.42,350.00,343.00,2.00,0.01,21.00,0.71,0.98,0.72,0.74,0.71,0.96
11.00,391.00,2.00,207.00,1.00,184.00,1.00,0.00,0.01,0.01,"2,024.00","2,221.00","2,208.00",0.55,0.54,0.55,0.54,0.73,0.69,0.74,0.69,295.00,167.00,128.00,0.75,0.81,0.70,0.32,0.34,0.27,0.32,113.00,104.00,6.00,0.05,15.00,0.57,0.92,0.61,0.60,0.52,0.86
12.00,148.00,0.00,79.00,0.00,69.00,0.00,0.00,0.00,0.00,828.00,848.00,897.00,0.51,0.46,0.49,0.43,0.68,0.59,0.66,0.56,106.00,60.00,46.00,0.72,0.76,0.67,0.22,0.23,0.14,0.19,33.00,27.00,5.00,0.15,13.00,0.39,0.82,0.48,0.46,0.42,0.91
