Dictionary Name,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Total Sentences (#),1103,262,2136,542,83,36,1968,980,391,148,230,177,518,347,156,52,257,262,175,70,65,42
Total Correct Transformations (#),1096,252,1808,372,0,0,53,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Pos->Pos Transformations (#),544,133,1072,255,40,17,963,496,207,79,111,86,252,161,78,22,138,119,83,37,36,24
Correct Pos->Pos Transformations (#),538,127,929,164,0,0,32,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Pos->Neg Transformations (#),559,129,1064,287,43,19,1005,484,184,69,119,91,266,186,78,30,119,143,92,33,29,18
Correct Pos->Neg Transformations (#),558,125,879,208,0,0,21,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Correct Pos->Pos Transformations (%),98.9%,95.49%,86.66%,64.31%,0.0%,0.0%,3.32%,0.81%,0.48%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Correct Pos->Neg Transformations (%),99.82%,96.9%,82.61%,72.47%,0.0%,0.0%,2.09%,0.83%,0.54%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total Correct Transformations (%),99.37%,96.18%,84.64%,68.63%,0.0%,0.0%,2.69%,0.82%,0.51%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Total source tokens,1677,516,5320,1722,301,152,9045,4840,2024,828,1547,1274,3990,2976,1326,540,2261,2860,1932,726,667,432
Total Prediction Tokens per Source,2236,645,6378,2035,285,167,10255,5218,2221,848,1567,1334,3885,2870,1205,452,1916,2347,1624,613,549,363
Total Target Tokens per Source,2236,645,6384,2009,344,171,10050,5324,2208,897,1666,1365,4256,3162,1404,570,2380,3003,2024,759,696,450
Pos->Pos Token Precision (%),99.63%,98.68%,97.02%,89.11%,47.42%,34.03%,67.51%,64.48%,54.65%,51.2%,31.33%,37.11%,37.18%,35.51%,39.16%,31.65%,32.98%,33.8%,31.29%,28.12%,29.18%,19.95%
Pos->Neg Token Precision (%),99.96%,99.38%,96.6%,91.89%,43.86%,32.93%,68.14%,66.65%,54.16%,45.75%,29.8%,26.46%,36.68%,33.9%,30.95%,31.42%,30.27%,32.55%,28.51%,29.69%,20.58%,20.94%
Pos->Pos Token Recall (%),99.63%,98.68%,97.05%,89.28%,36.07%,36.03%,68.29%,63.75%,55.25%,49.37%,33.54%,33.97%,36.11%,34.47%,34.46%,28.54%,27.54%,27.52%,26.39%,23.22%,20.65%,14.76%
Pos->Neg Token Recall (%),99.96%,99.38%,96.51%,93.08%,36.34%,32.16%,69.53%,65.33%,54.48%,43.26%,28.03%,25.86%,33.48%,30.77%,26.57%,24.91%,24.37%,25.44%,22.88%,23.98%,16.24%,16.89%
