Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
pcorrect_dict,0,0,547,146,1122,281,2,2,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
ncorrect_dict,0,0,0,516,129,1059,264,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ptotal_dict,0,0,547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3,0
ntotal_dict,0,0,0,516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
total_dict,0,0,547,662,1251,1343,307,52,1070,1437,710,265,225,203,372,464,259,88,169,262,189,90,27,8
PPequal_structsDICT,0,0,0,0,0,2,11,5,215,57,33,4,1,1,0,0,0,0,0,0,0,0,0,0
PPclausesDICT,0,0,0,0,0,2,16,6,548,110,60,22,3,1,0,0,1,0,0,5,0,0,0,0
PNequal_structsDICT,0,0,0,0,0,1,3,10,8,217,43,34,8,1,0,0,0,0,0,0,0,0,0,0
PNclausalDICT,0,0,0,0,0,1,4,15,8,557,96,57,31,3,0,0,0,0,0,0,7,0,0,0
PNnegate_mainDICT,0,0,0,0,0,1,5,27,20,962,479,204,67,122,95,277,196,61,34,138,74,76,24,8
