Dictionary Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
pcorrect_dict,0,0,547,146,1122,283,38,22,1049,475,230,57,147,81,260,175,52,13,67,59,23,6,0,0
ncorrect_dict,0,0,0,516,129,1060,269,30,20,962,480,207,73,119,92,264,184,47,13,71,60,20,5,0
ptotal_dict,0,0,547,146,1122,283,38,22,1050,475,230,57,150,81,277,187,63,27,135,122,67,14,3,0
ntotal_dict,0,0,0,516,129,1060,269,30,20,962,480,208,75,122,95,277,196,61,34,140,122,76,24,8
total_dict,0,0,547,662,1251,1343,307,52,1070,1437,710,265,225,203,372,464,259,88,169,262,189,90,27,8
PPequal_structsDICT,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,8,7,9,39,26,27,0,0,0
PPclausesDICT,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,8,9,11,52,42,30,1,1,0
PNequal_structsDICT,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,10,5,9,11,41,32,26,10,6
PNclausalDICT,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,10,7,9,17,53,37,43,12,7
PNnegate_mainDICT,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,13,12,14,21,69,61,56,19,8
